Class Nbr,Subject,Catalog,Section,Description,Capacity,Total Enrolled,Available Seats,Total Waitlisted,In Shopping Cart,Unmet Demand,Class Start Time,Class End Time,Meeting Days,Facility ID,Instructor,Start Date,End Date
9502,AC,202,01,Financial Accounting,75,54,21,0,1,0,9:30AM,10:45AM,MW,SN213,Sukyoon Jung,9/2/2019,12/13/2019
10112,AC,202,02,Financial Accounting,53,45,8,0,1,0,8:00AM,9:15AM,MW,SN214,Sukyoon Jung,9/2/2019,12/13/2019
9501,AC,203,01,Managerial Accounting,80,55,25,0,3,0,8:00AM,9:15AM,TR,CB177,Guoyu Lin,9/2/2019,12/13/2019
8822,AC,205,01,Intro Fin & Managerial Acct,71,66,5,0,1,0,2:30PM,3:45PM,MW,SN213,Anna B Brown,9/2/2019,12/13/2019
8823,AC,205,02,Intro Fin & Managerial Acct,40,41,-1,0,0,1,1:00PM,2:15PM,MW,SN177,Anna B Brown,9/2/2019,12/13/2019
8825,AC,312,01,Intermediate Financial Acct II,22,17,5,0,0,0,1:00PM,2:15PM,TR,TC206,Guoyu Lin,9/2/2019,12/13/2019
8824,AC,407,01,Taxation of Business Entities,25,12,13,0,0,0,6:00PM,8:45PM,T,SN241,Ran Li,9/2/2019,12/13/2019
9719,AC,603,01,Management Accounting,30,18,12,0,1,0,9:30AM,11:00AM,MW,SN214,Wentao Wu,9/2/2019,10/18/2019
9720,AC,603,02,Management Accounting,30,21,9,0,0,0,11:15AM,12:45PM,MW,SN214,Wentao Wu,9/2/2019,10/18/2019
9725,AC,603,10,Management Accounting,30,21,9,0,0,0,10:00AM,11:30AM,F,SN213,Wentao Wu,9/2/2019,10/18/2019
9726,AC,603,20,Management Accounting,30,18,12,0,0,0,11:45AM,1:15PM,F,SN213,Wentao Wu,9/2/2019,10/18/2019
10313,AC,604,41,"Fin & Managerial Acct, Dec Mkg",4,3,1,0,0,0,,,,,John Stephen DeJoy,9/11/2019,11/19/2019
10305,AC,604,D1,"Fin & Managerial Acct, Dec Mkg",1,1,0,0,0,0,6:30PM,7:30PM,T,ONLINE,John Stephen DeJoy,9/11/2019,11/19/2019
10119,AE,212,01,Intro to Engin Design,70,48,22,0,3,0,2:00PM,2:50PM,MWF,CB194,Marcias J. Martinez,9/2/2019,12/13/2019
8200,AE,301,10,Exp Methods in MAE,36,31,5,0,1,0,1:00PM,2:50PM,M,CB184,Carl David Hoover,9/2/2019,12/13/2019
8201,AE,301,11,Exp Methods in MAE,36,32,4,0,0,0,1:00PM,2:50PM,M,CB179,Carl David Hoover,9/2/2019,12/13/2019
8202,AE,301,20,Exp Methods in MAE,36,34,2,0,0,0,1:00PM,2:50PM,W,CB184,Carl David Hoover,9/2/2019,12/13/2019
8203,AE,301,21,Exp Methods in MAE,36,35,1,0,1,0,1:00PM,2:50PM,W,CB179,Carl David Hoover,9/2/2019,12/13/2019
8204,AE,301,30,Exp Methods in MAE,36,29,7,0,0,0,1:00PM,2:50PM,F,CB184,Carl David Hoover,9/2/2019,12/13/2019
8205,AE,301,31,Exp Methods in MAE,36,20,16,0,0,0,1:00PM,2:50PM,F,CB179,Carl David Hoover,9/2/2019,12/13/2019
8212,AE,350,01,Aircraft Struct Analysis,48,31,17,0,3,0,2:30PM,3:45PM,TR,SN177,Craig Gordon Merrett,9/2/2019,12/13/2019
8213,AE,430,01,Stability & Ctrl Aero Vehicles,64,42,22,0,2,0,10:00AM,10:50AM,MWF,SNB10L,Marcias J. Martinez,9/2/2019,12/13/2019
8214,AE,431,01,Gas Dynamics,48,41,7,0,1,0,9:30AM,10:45AM,TR,SN177,Pasquale Piperni,9/2/2019,12/13/2019
8215,AE,443,01,Optimal Engineering,35,16,19,0,0,0,2:30PM,3:45PM,TR,RL142,Kenneth D Willmert,9/2/2019,12/13/2019
9324,AE,450,01,Aircraft Design I,54,39,15,0,0,0,8:00AM,9:15AM,TR,RL244,Kenneth D Visser,9/2/2019,12/13/2019
