Timestamp,Username,MA211 Foundations (Discrete math and proof),MA230 3D Space and Projective Geometry,MA239 Elementary Linear Algebra,MA277 Elementary Numerical Methods,MA300 Seminar in Actuarial Mathematics,MA311 Abstract Algebra,MA313 Abstract Linear ALgebra,MA314 Number Theory and Applications,MA321 Advanced Calc I,MA322 Advanced Calc II,MA330 Advanced Engineering Mathematics,MA331 Fourier Series and BVP,MA332 Intermediate Differential Equations,MA339 Applied Linear Algebra,MA362 Complex Analysis with Applications,MA363 Mathematical Modeling,MA377 Numerical Methods,STAT381 Probability,STAT382 Mathematical Statistics,STAT382 Mathematical Statistics,STAT383 Probability and Statistics,STAT384 Applied Stats II,STAT385 Bayesian Analysis,MA453/453 Intro to Math Research/Instruction,MA511 Algebraic Structures,MA513 Abstract Linear Algebra,MA514 Sets and Topology,MA521 Classical Complex Analysis,MA522 Classical Real Analysis,MA525 Functional Analysis,MA526 Convex Optimization and Analysis,MA531 BVP and PDEs,MA533 Ordinary Differential Equations,MA550 Nonlinear PDEs,MA563 Applied Dynamical Systems,MA571 Numerical Solutiton of Diff Eqns,MA572 Finite Element Methods,MA573 Matrix Theory and Computations,MA578 Numerical ANalysis,MA579 Intro to Applied Optimization,DS241 Intro to Data Science,DS392 Ethics in Data Science and Applied Math,
2018/10/15 1:51:46 PM EST,inst01,"Could teach, if needed","Could teach, if needed",Willing to teach,"Could teach, if needed",Would like to teach,"Could teach, if needed","Could teach, if needed","Could teach, if needed","Could teach, if needed","Could teach, if needed","Could teach, if needed","Could teach, if needed","Could teach, if needed",Willing to teach,Willing to teach,"Could teach, if needed","Could teach, if needed",Would like to teach,Would like to teach,Would like to teach,Would like to teach,Would like to teach,Willing to teach,"Could teach, if needed","Could teach, if needed","Could teach, if needed","Could teach, if needed","Could teach, if needed","Could teach, if needed",Can't teach this course,Can't teach this course,"Could teach, if needed","Could teach, if needed",Can't teach this course,Can't teach this course,"Could teach, if needed",Can't teach this course,"Could teach, if needed","Could teach, if needed",Can't teach this course,Willing to teach,Can't teach this course,
2018/10/15 1:56:27 PM EST,inst02,Would like to teach,"Could teach, if needed",Willing to teach,"Could teach, if needed",Can't teach this course,Would like to teach,"Could teach, if needed",Can't teach this course,Willing to teach,Willing to teach,"Could teach, if needed",Can't teach this course,"Could teach, if needed","Could teach, if needed",Can't teach this course,Can't teach this course,Can't teach this course,Can't teach this course,Can't teach this course,Can't teach this course,Can't teach this course,Can't teach this course,Can't teach this course,Can't teach this course,Willing to teach,"Could teach, if needed",Willing to teach,"Could teach, if needed","Could teach, if needed","Could teach, if needed",Can't teach this course,Can't teach this course,Can't teach this course,Can't teach this course,Can't teach this course,Can't teach this course,Can't teach this course,Can't teach this course,Can't teach this course,Can't teach this course,Can't teach this course,Can't teach this course,
2018/10/16 3:37:52 AM EST,inst03,Willing to teach,Willing to teach,Would like to teach,Willing to teach,Willing to teach,Willing to teach,Willing to teach,"Could teach, if needed",Willing to teach,Willing to teach,Would like to teach,Would like to teach,Would like to teach,Would like to teach,Willing to teach,Would like to teach,Would like to teach,Would like to teach,Willing to teach,Willing to teach,Would like to teach,Would like to teach,Would like to teach,"Could teach, if needed","Could teach, if needed",Willing to teach,"Could teach, if needed",Willing to teach,Willing to teach,Willing to teach,Would like to teach,Willing to teach,Would like to teach,Would like to teach,Would like to teach,Would like to teach,"Could teach, if needed","Could teach, if needed","Could teach, if needed",Willing to teach,Would like to teach,Would like to teach,
2018/10/16 4:06:39 PM EST,inst04,"Could teach, if needed","Could teach, if needed","Could teach, if needed",Willing to teach,Can't teach this course,"Could teach, if needed",Willing to teach,Can't teach this course,Willing to teach,Willing to teach,"Could teach, if needed","Could teach, if needed",Would like to teach,Would like to teach,"Could teach, if needed",Willing to teach,Willing to teach,"Could teach, if needed",Can't teach this course,Can't teach this course,"Could teach, if needed",Can't teach this course,Can't teach this course,Would like to teach,Can't teach this course,Willing to teach,"Could teach, if needed","Could teach, if needed",Willing to teach,Would like to teach,Can't teach this course,Can't teach this course,Would like to teach,Can't teach this course,Would like to teach,Willing to teach,"Could teach, if needed",Willing to teach,Willing to teach,Can't teach this course,"Could teach, if needed","Could teach, if needed",
2018/10/16 4:36:15 PM EST,inst05,Can't teach this course,"Could teach, if needed","Could teach, if needed","Could teach, if needed",Would like to teach,Can't teach this course,"Could teach, if needed",Can't teach this course,Can't teach this course,Can't teach this course,"Could teach, if needed",Can't teach this course,"Could teach, if needed","Could teach, if needed",Can't teach this course,"Could teach, if needed","Could teach, if needed",Would like to teach,Would like to teach,Would like to teach,Would like to teach,Would like to teach,"Could teach, if needed","Could teach, if needed",Can't teach this course,Can't teach this course,Can't teach this course,Can't teach this course,Can't teach this course,Can't teach this course,Can't teach this course,Can't teach this course,Can't teach this course,Can't teach this course,Can't teach this course,Can't teach this course,Can't teach this course,Can't teach this course,Can't teach this course,Can't teach this course,Would like to teach,Would like to teach,Option 1
2018/10/17 12:31:41 AM EST,inst06,"Could teach, if needed",Can't teach this course,Willing to teach,Willing to teach,Can't teach this course,"Could teach, if needed",Willing to teach,Willing to teach,"Could teach, if needed","Could teach, if needed","Could teach, if needed","Could teach, if needed","Could teach, if needed",Would like to teach,"Could teach, if needed","Could teach, if needed","Could teach, if needed",Would like to teach,Would like to teach,Would like to teach,Would like to teach,"Could teach, if needed","Could teach, if needed",Can't teach this course,"Could teach, if needed","Could teach, if needed",Can't teach this course,"Could teach, if needed",Can't teach this course,Can't teach this course,Can't teach this course,"Could teach, if needed","Could teach, if needed","Could teach, if needed",Can't teach this course,"Could teach, if needed","Could teach, if needed","Could teach, if needed","Could teach, if needed","Could teach, if needed",Can't teach this course,Can't teach this course,
2018/10/17 9:53:57 AM EST,inst07,"Could teach, if needed",Would like to teach,Would like to teach,Would like to teach,Can't teach this course,"Could teach, if needed","Could teach, if needed",Can't teach this course,"Could teach, if needed","Could teach, if needed","Could teach, if needed",Willing to teach,"Could teach, if needed",Would like to teach,Can't teach this course,Willing to teach,Would like to teach,Can't teach this course,Can't teach this course,Can't teach this course,Can't teach this course,Can't teach this course,Can't teach this course,Would like to teach,Can't teach this course,Would like to teach,Can't teach this course,Can't teach this course,"Could teach, if needed","Could teach, if needed","Could teach, if needed","Could teach, if needed","Could teach, if needed",Can't teach this course,Can't teach this course,"Could teach, if needed",Can't teach this course,Would like to teach,Willing to teach,Would like to teach,Can't teach this course,Can't teach this course,
2018/10/17 1:04:26 PM EST,inst08,Would like to teach,"Could teach, if needed",Willing to teach,"Could teach, if needed",Can't teach this course,"Could teach, if needed",Would like to teach,Can't teach this course,Willing to teach,Willing to teach,"Could teach, if needed",Willing to teach,Would like to teach,Would like to teach,Willing to teach,Can't teach this course,"Could teach, if needed",Can't teach this course,Can't teach this course,Can't teach this course,Can't teach this course,Can't teach this course,Can't teach this course,"Could teach, if needed",Can't teach this course,Willing to teach,Can't teach this course,Can't teach this course,Can't teach this course,Can't teach this course,Can't teach this course,"Could teach, if needed",Can't teach this course,Can't teach this course,Can't teach this course,"Could teach, if needed",Can't teach this course,Willing to teach,Would like to teach,Can't teach this course,Can't teach this course,Can't teach this course,Option 1
2018/10/17 3:59:07 PM EST,inst09,"Could teach, if needed",Can't teach this course,Can't teach this course,Can't teach this course,Can't teach this course,Can't teach this course,Can't teach this course,Can't teach this course,Can't teach this course,Can't teach this course,Can't teach this course,Can't teach this course,Can't teach this course,Can't teach this course,Can't teach this course,Can't teach this course,Can't teach this course,"Could teach, if needed",Can't teach this course,Can't teach this course,Can't teach this course,Can't teach this course,Can't teach this course,Can't teach this course,Can't teach this course,Can't teach this course,Can't teach this course,Can't teach this course,Can't teach this course,Can't teach this course,Can't teach this course,Can't teach this course,Can't teach this course,Can't teach this course,Can't teach this course,Can't teach this course,Can't teach this course,Can't teach this course,Can't teach this course,Can't teach this course,Can't teach this course,Can't teach this course,
2018/10/17 6:03:26 PM EST,inst10,"Could teach, if needed","Could teach, if needed","Could teach, if needed",Would like to teach,Can't teach this course,"Could teach, if needed","Could teach, if needed","Could teach, if needed","Could teach, if needed",Can't teach this course,"Could teach, if needed",Willing to teach,Willing to teach,"Could teach, if needed",Can't teach this course,Can't teach this course,Would like to teach,Can't teach this course,Can't teach this course,Can't teach this course,Can't teach this course,Can't teach this course,Can't teach this course,Can't teach this course,Can't teach this course,Can't teach this course,Can't teach this course,Can't teach this course,Can't teach this course,Can't teach this course,"Could teach, if needed","Could teach, if needed","Could teach, if needed","Could teach, if needed",Can't teach this course,Willing to teach,Can't teach this course,"Could teach, if needed",Can't teach this course,"Could teach, if needed","Could teach, if needed",Can't teach this course,
